board_hash,value
('257.01.01-1', 0),0.49961971177907716
('354.04.011', 2),0.48968385879150783
('355.03.0-11', 4),0.8874271844616484
('253.05.011', 3),0.89705795
('355.03.011', 0),0.764615372
('351.07.0-11', 0),0.06485328261909762
('254.04.01-1', 5),0.6038720226939069
('256.02.01-1', 5),0.5014061321961513
('457.01.01-1', 2),1.6099528779065906e-05
('450.08.011', 2),0.23043657201131457
('352.06.011', 1),0.7842150280106911
('358.00.01-1', 0),0.13202524785708022
('457.01.01-1', 1),0.004844450520350001
('456.02.0-11', 0),0.7097688497870848
('456.02.011', 3),0.48568666695933305
('254.04.01-1', 4),0.7370647907723737
('355.03.0-11', 0),0.9024999903916612
('353511', 6),0.5583687954285208
('352.06.0-1-1', 6),0.3843402485679517
('454.04.01-1', 4),0.084035
('3544-11', 4),0.6207499999999999
('453.05.01-1', 4),0.084035
('35621-1', 4),0.2706415857143686
('452.06.011', 6),0.273094831866969
('455.03.011', 3),0.5893787978035903
('353511', 4),0.7582069773363995
('454.04.0-11', 5),0.5853911718981197
('457.01.0-11', 3),0.4031439008983608
('455.03.011', 2),0.3561830688920378
('253.05.011', 1),0.79565
('356.02.0-1-1', 5),0.2968038308670023
('354.04.0-11', 5),0.8348518112763643
('355.03.0-1-1', 5),0.2689051129272172
('451.07.0-11', 5),0.17426868373590754
('353.05.0-1-1', 5),0.4011155989398836
('255.03.0-11', 3),0.9478635973205256
('457.01.0-1-1', 1),0.028824005
('457.01.0-11', 1),0.38592824218285493
('458.00.0-1-1', 3),3.285618118176715e-05
('454.04.01-1', 5),0.35
('354.04.01-1', 5),0.49125524826633393
('253.05.01-1', 5),0.704459249175425
('350.08.0-11', 0),0.12253867523491249
('350.08.0-11', 2),0.2786104857470729
('458.00.0-1-1', 1),0.084035
('456.02.0-11', 1),0.799796045226195
('450.08.011', 1),0.21962961552488763
('357.01.01-1', 4),0.20157260524536996
('355.03.01-1', 6),0.5849276233042656
('350.08.0-11', 3),0.04853682447381445
('458.00.0-11', 0),0.45293521049596963
('258.00.0-1-1', 1),0.5092639638178494
('258.00.0-1-1', 5),0.4294039884379158
('456.02.0-11', 4),0.5723887644667796
('253.05.011', 0),0.841955
('354.04.011', 3),0.5998090574999259
('352.06.0-1-1', 5),0.27959509828548335
('255.03.0-11', 1),0.79565
('454.04.011', 5),0.6040982072450776
('358.00.01-1', 1),0.25607552116814963
('256.02.0-1-1', 4),0.6829115954381572
('353.05.01-1', 7),0.084035
('450.08.0-11', 1),0.3718387204490094
('355.03.01-1', 5),0.35
('355.03.0-11', 5),0.6207499999999999
('455.03.01-1', 4),0.245
('356.02.01-1', 6),0.5465351497894259
('35711-1', 4),0.20882120726152134
('458.00.01-1', 1),0.35
('350.08.0-11', 4),0.36225726527453517
('258.00.0-1-1', 0),0.1158882286807004
('351.07.011', 3),0.5134752219376053
('453.05.011', 6),0.3548555553241793
('353.05.011', 6),0.6450827825716157
('456.02.011', 1),0.49158791177407335
('357.01.01-1', 5),0.3833388170841324
('353.05.011', 7),0.4953406032582639
('255.03.0-1-1', 5),0.6072124802928907
('457.01.01-1', 4),0.35
('456.02.011', 2),0.5652057609589917
('258.00.0-1-1', 2),0.388106906550304
('254.04.0-1-1', 5),0.6175296606506028
