board_hash,value
('-14796334735561546422.06.0-1', 4),0.0
('-58992274033442493731.07.0-1', 4),0.0
('-80367763896855458762.06.0-1', 2),0.0
('61847751248396637772.06.0-1', 0),0.07577561984838908
('-79935348256236060734.04.0-1', 1),0.0
('33943450090128217013.05.0-1', 4),0.0
('80913784527017709344.04.0-1', 1),0.0
('81566193618584517762.06.0-1', 4),0.039800249999999995
('89059657806597198061.07.0-1', 4),0.022686142499999996
('81064086799575152662.06.0-1', 2),0.009698325918749997
('-36194972149494699453.05.0-1', 0),0.0027640228868437487
('54127718235433441084.04.0-1', 1),0.0
('82722536429722228743.05.0-1', 4),0.8675230672430729
('-22165782455012710133.05.0-1', 4),0.0
('86528442764505689732.06.0-1', 1),0.285
('77742138327372339962.06.0-1', 2),0.006597500624999998
('49070697614415888183.05.0-1', 0),0.22049754065027938
('44129806240045197436.02.0-1', 1),0.0
('50158453538689722663.05.0-1', 4),0.0
('-22165782455012710132.06.0-1', 2),0.0049995153687937485
('-7595614336407206242.06.0-1', 0),0.005801829271915663
('64636879310219808606.02.0-1', 1),0.0
('66372659235157215836.02.0-1', 1),0.0
('-37051785828700745154.04.0-1', 1),0.0
('10257330033284477454.04.0-1', 4),0.019437162806249998
('45730521064344757633.05.0-1', 2),0.006597500624999998
('-20552178144953704133.05.0-1', 4),0.0
('41798233463526626772.06.0-1', 1),0.4845
('-41445460065892409832.06.0-1', 4),0.7430669043582565
('778609626508531385.03.0-1', 4),0.0046131283138997285
('88911484911727352952.06.0-1', 1),0.285
('-2765129366539465553.05.0-1', 4),0.0022944052100024996
('-36908302779400520993.05.0-1', 4),0.011343071249999998
('10257330033284477454.04.0-1', 2),0.006597500624999998
('2763719064377304655.03.0-1', 4),0.6896023832990894
('33928702928333969956.02.0-1', 1),0.0
('772047037857089694.04.0-1', 4),0.08122499999999999
('-919874875354574142.06.0-1', 4),0.023149124999999996
('17147504237118092862.06.0-1', 2),0.006597500624999998
('18861267936015680972.06.0-1', 0),0.05608255623575563
('40694813406558143761.07.0-1', 1),0.7903335
('41605203438158366471.07.0-1', 1),0.4845
('-19497870807737419201.07.0-1', 4),0.080006625
('55062805023022945914.04.0-1', 1),0.0
('2424678676501492241.07.0-1', 1),0.4845
('-13083436328537364642.06.0-1', 2),0.0
('-36194972149494699451.07.0-1', 0),0.1050558662293557
('-6782562326601105122.06.0-1', 1),0.7903335
('24053130381942834022.06.0-1', 4),0.06269022076789882
('-81734611571146745302.06.0-1', 1),0.285
('47030087105836378802.06.0-1', 4),0.08122499999999999
('-7595614336407206243.05.0-1', 2),0.39339154272842247
('-43433083859887944342.06.0-1', 0),0.4722973016324736
('53490966317357134674.04.0-1', 1),0.62415
('55388531437364203734.04.0-1', 4),0.31434074999999995
('17147504237118092864.04.0-1', 2),0.20669669629867501
('-25412267169177834582.06.0-1', 1),0.285
('-36265852446853521964.04.0-1', 1),0.0
('86944882395169569473.05.0-1', 4),0.0
('50158453538689722664.04.0-1', 4),0.0
('7995277968672084857.01.0-1', 1),0.0
('-76413975330039367894.04.0-1', 1),0.0
('-37363259857393007233.05.0-1', 4),0.0
('-65308887361107645313.05.0-1', 4),0.0
('22659080022990941304.04.0-1', 1),0.0
('21043845942550548531.07.0-1', 1),0.285
('35061241083240580504.04.0-1', 1),0.0
('-42132490760598427971.07.0-1', 0),0.02510474734243352
('-68807583618657560511.07.0-1', 1),0.7903335
('-11051449214683610962.06.0-1', 1),0.4845
('24053130381942834025.03.0-1', 2),0.0049440223688175175
('12276402925015041533.05.0-1', 4),0.27908704042739624
('12276402925015041534.04.0-1', 2),0.1951028753234591
('-46032525211842587102.06.0-1', 4),0.2778601075395921
('44430575519807662722.06.0-1', 2),0.2695081784732659
('29281504316775041241.07.0-1', 0),0.0
('33943450090128217012.06.0-1', 1),0.4845
('48496678233963137901.07.0-1', 1),0.62415
('22546537576468015871.07.0-1', 4),0.3062335203
('18012562355187485036.02.0-1', 1),0.0
('56225737855274960621.07.0-1', 1),0.285
('71327605011904700353.05.0-1', 4),0.08122499999999999
('24053130381942834025.03.0-1', 4),0.023149124999999996
('66372659235157215837.01.0-1', 1),0.0
('89188231609999714634.04.0-1', 1),0.0
('39514796125053434642.06.0-1', 1),0.9435568808079344
('-22165782455012710134.04.0-1', 4),0.5324298470992269
('42459027759708252243.05.0-1', 1),0.0
('-54771731181228419432.06.0-1', 4),0.0
('-86251057411900867391.07.0-1', 4),0.0
('-42132490760598427976.02.0-1', 2),0.0
('-21639799927323091274.04.0-1', 1),0.0
('70372067511549474192.06.0-1', 4),0.1380825
('-48614822076352449032.06.0-1', 4),0.03935351249999999
('-42132490760598427973.05.0-1', 2),0.5597882655971333
('2763719064377304653.05.0-1', 4),0.8482617601043068
('-34855480588988600402.06.0-1', 1),0.871763415
('55943821443387938364.04.0-1', 1),0.0
('83661931323356148503.05.0-1', 4),0.0
('-41414068303962322974.04.0-1', 4),0.0
('89188231609999714633.05.0-1', 1),0.4845
('-21639799927323091275.03.0-1', 4),0.19494
('18861267936015680973.05.0-1', 0),0.006074740504241641
('66329584829699185344.04.0-1', 1),0.0
('72908547982984846932.06.0-1', 4),0.0
('-36908302779400520992.06.0-1', 2),0.006539054848507124
('10257330033284477454.04.0-1', 0),0.011448016738350686
('44430575519807662721.07.0-1', 2),0.587721773216279
('-23969250533977802973.05.0-1', 4),0.0
('-64330499457292388204.04.0-1', 1),0.233029965
('-919874875354574144.04.0-1', 4),0.15173398574999997
('-59490323607272718286.02.0-1', 1),0.0
('47030087105836378804.04.0-1', 4),0.0
('-21639799927323091273.05.0-1', 4),0.0
('10257330033284477453.05.0-1', 4),0.026909791093157633
('-44924306657533932273.05.0-1', 4),0.0
('-13083436328537364641.07.0-1', 1),0.285
('2763719064377304652.06.0-1', 4),0.33920227807758196
('-43165439367730066032.06.0-1', 1),0.9499999971284538
('-37296331457702316514.04.0-1', 4),0.45669904040475
('-70050313365614651341.07.0-1', 1),0.285
('-2589081535394268952.06.0-1', 4),0.25030904513332497
('-10890614319079692602.06.0-1', 4),0.003979911210574237
('71327605011904700353.05.0-1', 2),0.006597500624999998
('22546537576468015872.06.0-1', 4),0.6681148869827269
('-13083436328537364642.06.0-1', 4),0.22386266419837494
('-43872830081668345340.08.0-1', 1),0.285
('11349249696058162863.05.0-1', 4),0.08122499999999999
('-11051449214683610963.05.0-1', 4),0.023149124999999996
('22546537576468015872.06.0-1', 2),0.006597500624999998
('24053130381942834023.05.0-1', 0),0.2882745245643765
('-31746434021212006686.02.0-1', 1),0.0
('29281504316775041246.02.0-1', 0),0.0
('-50950320564941130832.06.0-1', 4),0.302400675
('29281504316775041245.03.0-1', 4),0.03935351249999999
('2763719064377304656.02.0-1', 2),0.01617168013220887
